CTE,Heading Error,Steering Angle,Time
0.0,0.0,0.0,1.0005769729614258
-0.002863912660724166,-0.043204488437998734,-0.5235987755982988,1.0040724277496338
-0.002760049627753525,-0.04268469402867936,-0.5235987755982988,1.0064513683319092
-0.002680118669523602,-0.04228467828524174,-0.5235987755982988,1.0084741115570068
-0.0026633459911989486,-0.04220074001305285,-0.5235987755982988,1.0104124546051025
-0.0026522935650193317,-0.04214542870194471,-0.5235987755982988,1.012282133102417
-0.002642062827571949,-0.042094229605769584,-0.5235987755982988,1.0147716999053955
-0.0026288165532562264,-0.042027939604848186,-0.5235987755982988,1.0176033973693848
-0.0027016019211144266,-0.04238019707724483,-0.17583676510921364,1.0203168392181396
-0.0027829259252920083,-0.04277559753405136,-0.18019982744620222,1.0229277610778809
-0.0028602828041149452,-0.043151484955783914,-0.1843457927965666,1.025500774383545
-0.0029362861178045757,-0.043520670494880065,-0.18841515830629518,1.028676986694336
-0.0028708475015671647,-0.043170847557330916,-0.13183693279077247,1.0311753749847412
-0.0028100049870693226,-0.04284893740888229,-0.12964542713287486,1.0336189270019531
-0.0027501189778453908,-0.042532327553482574,-0.12748801939060606,1.035895586013794
-0.0026940597658354536,-0.04223614358391181,-0.12546814361820324,1.0383315086364746
-0.002679864070256768,-0.0421510696945635,-0.14012916136148057,1.040632724761963
-0.0026695909969608527,-0.04208642859615708,-0.13969131346825492,1.0428273677825928
-0.002660140806517332,-0.042026537698289346,-0.13928808590102904,1.044905424118042
-0.0026512160684105633,-0.041969962721042364,-0.13890724344061667,1.0471787452697754
-0.0026414954581401914,-0.04190830328896844,-0.13849237639265155,1.0493381023406982
-0.0026322217119075474,-0.04184955081721675,-0.13809663099928216,1.052117109298706
-0.0026203832697341166,-0.041774444262008714,-0.13759130276945797,1.0546941757202148
-0.00260930184213888,-0.04170430535102554,-0.13711842066051716,1.0579781532287598
-0.0025952973361725584,-0.04161554240184984,-0.13652063380851587,1.0605690479278564
-0.0025840775543598633,-0.04154468895862706,-0.13604193764699346,1.0628316402435303
-0.0025742983619444736,-0.04148293008865345,-0.13562467622758234,1.0650091171264648
-0.0025649182755549177,-0.04142366922182639,-0.13522439906735428,1.0674858093261719
-0.002515737620311484,-0.041163078739836934,-0.13007557241800427,1.0705921649932861
-0.0025964022482053263,-0.041547834098066616,-0.129227062634385,1.0733122825622559
-0.0026776598026957516,-0.04193775953464218,-0.13234631220996107,1.076038122177124
-0.0027590370089732013,-0.04232809809346527,-0.13546864088106503,1.0794203281402588
-0.0027959999270662835,-0.04248471152475197,-0.11299958999484261,1.0818145275115967
-0.002821247391321683,-0.04259091127127412,-0.11374039146732073,1.0843207836151123
-0.002846012447834648,-0.04269370165120279,-0.1144656023658257,1.087200403213501
-0.0028740632480560068,-0.04280972618558465,-0.11528656076081134,1.0941200256347656
-0.0027382069897401995,-0.042107332544173204,-0.22030991062794314,1.09672212600708
-0.0026748301700738044,-0.04178184181779976,-0.21594370555600406,1.099329948425293
-0.002617381230517018,-0.04148606544598721,-0.21198018380147587,1.101759433746338
-0.0025640245430815422,-0.04121139204670854,-0.2082948729730436,1.1041309833526611
-0.002512131702840319,-0.040944279237207226,-0.20470692526256506,1.1066734790802002
